Race_Ethc_Visa,Gender,HSGPA,SAT_Total,Entry_Term,Term.GPA,Persistence.NextYear,N.RegisteredCourse,N.Ws,N.DFs,N.As,N.PassedCourse,N.CourseTaken,Perc.PassedEnrolledCourse,Perc.Pass,Perc.Withd,N.GraduateCourse,FullTimeStudent
Hispanic,Male,63,1594,2141,3.43,1,3,0,0,0,3,3,1,1,0,0,1
Afram,Female,95,959,2141,3.13,1,3,1,1,1,1,2,0.333333333,0.5,0.333333333,0,0
White,Female,72,1157,2141,2.45,1,3,1,0,0,2,2,0.666666667,1,0.333333333,1,0
Hispanic,Male,65,1009,2131,1.54,1,1,0,0,1,1,1,1,1,0,0,0
Afram,Male,64,1534,2141,1.5,1,7,3,1,1,3,4,0.428571429,0.75,0.428571429,0,1
Asian,Female,74,1439,2141,2.13,1,6,2,1,0,3,4,0.5,0.75,0.333333333,1,1
Hispanic,Male,93,1599,2141,2.4,1,2,1,0,0,1,1,0.5,1,0.5,0,0
Asian,Male,65,1227,2141,3.17,1,5,2,1,0,2,3,0.4,0.666666667,0.4,2,1
White,Male,71,1497,2141,1.17,1,4,1,1,1,2,3,0.5,0.666666667,0.25,0,1
Hispanic,Female,55,960,2141,2.4,1,3,0,2,0,1,3,0.333333333,0.333333333,0,0,1
Afram,Male,57,1249,2141,1.17,1,2,1,1,0,0,1,0,0,0.5,1,0
Afram,Female,97,1115,2141,3.67,1,4,1,1,2,2,3,0.5,0.666666667,0.25,1,1
Asian,Male,63,1553,2141,3.29,1,4,1,0,0,3,3,0.75,1,0.25,1,1
Multi,Female,83,1031,2141,3.55,1,3,0,2,0,1,3,0.333333333,0.333333333,0,1,1
White,Male,65,1118,2141,3.95,1,5,2,1,0,2,3,0.4,0.666666667,0.4,1,1
Asian,Male,60,982,2141,2.61,1,5,1,0,1,4,4,0.8,1,0.2,0,1
Hispanic,Male,68,915,2141,3.51,1,3,0,1,0,2,3,0.666666667,0.666666667,0,1,1
Afram,Female,75,1577,2141,3.23,1,5,1,2,1,2,4,0.4,0.5,0.2,1,1
Afram,Female,71,943,2141,1.87,1,3,0,2,0,1,3,0.333333333,0.333333333,0,0,1
White,Female,81,1011,2141,0.64,1,4,1,2,0,1,3,0.25,0.333333333,0.25,1,1
Hispanic,Male,70,1216,2141,1.72,1,2,0,0,2,2,2,1,1,0,1,0
Asian,Female,71,1262,2141,0.76,1,8,1,3,1,4,7,0.5,0.571428571,0.125,0,1
Asian,Male,100,1128,2141,2.98,1,4,0,3,0,1,4,0.25,0.25,0,0,1
White,Male,77,1512,2141,3.44,1,4,1,2,0,1,3,0.25,0.333333333,0.25,1,1
Hispanic,Male,89,1142,2131,1.5,1,3,2,0,1,1,1,0.333333333,1,0.666666667,0,0
